Subject,Is_Calming_Music,Trial_Number,Difficulty,Difficulty,Response_Time,Correct_Response,Actual_Response,Answered_Correctly
3,1,1,1,1,1432,1,1,1
3,1,1,1,1,825,1,1,1
3,1,1,1,1,631,0,0,1
3,1,1,1,1,531,0,0,1
3,1,1,1,1,421,1,1,1
3,1,1,1,1,849,0,1,0
3,1,1,1,1,1141,0,1,0
3,1,1,1,1,922,1,1,1
3,1,1,1,1,387,1,1,1
3,1,1,1,1,344,1,1,1
3,1,1,1,1,473,1,1,1
3,1,1,1,1,668,1,1,1
3,1,1,1,1,290,1,1,1
3,1,1,1,1,209,0,0,1
3,1,1,1,1,282,1,1,1
3,1,1,1,1,797,1,1,1
3,1,1,1,1,426,1,1,1
3,1,1,1,1,350,1,1,1
3,1,1,1,1,290,1,1,1
3,1,1,1,1,757,1,1,1
3,1,1,1,1,392,1,1,1
3,1,2,3,3,442,1,1,1
3,1,2,3,3,765,1,1,1
3,1,2,3,3,1063,1,1,1
3,1,2,3,3,1147,1,1,1
3,1,2,3,3,623,0,1,0
3,1,2,3,3,462,0,0,1
3,1,2,3,3,410,0,1,0
3,1,2,3,3,892,1,1,1
3,1,2,3,3,544,1,1,1
3,1,2,3,3,555,1,1,1
3,1,2,3,3,325,0,0,1
3,1,2,3,3,529,1,1,1
3,1,2,3,3,822,1,1,1
3,1,2,3,3,532,1,1,1
3,1,2,3,3,457,1,1,1
3,1,2,3,3,815,1,1,1
3,1,2,3,3,356,1,1,1
3,1,3,3,3,289,1,1,1
3,1,3,3,3,1378,1,0,0
3,1,3,3,3,840,0,0,1
3,1,3,3,3,629,1,1,1
3,1,3,3,3,560,1,1,1
3,1,3,3,3,876,1,0,0
3,1,3,3,3,759,1,1,1
3,1,3,3,3,191,1,1,1
3,1,3,3,3,552,1,1,1
3,1,3,3,3,465,1,1,1
3,1,3,3,3,381,0,0,1
3,1,3,3,3,163,1,1,1
3,1,3,3,3,301,0,0,1
3,1,3,3,3,271,1,1,1
3,1,3,3,3,322,0,1,0
3,1,3,3,3,519,0,0,1
3,1,3,3,3,477,1,1,1
3,1,3,3,3,998,1,1,1
3,1,3,3,3,859,1,1,1
3,1,4,1,1,198,1,1,1
3,1,4,1,1,293,1,1,1
3,1,4,1,1,112,1,1,1
3,1,4,1,1,97,1,1,1
3,1,4,1,1,127,1,1,1
3,1,4,1,1,389,1,1,1
3,1,4,1,1,333,1,1,1
3,1,4,1,1,267,0,0,1
3,1,4,1,1,275,1,1,1
3,1,4,1,1,336,0,0,1
3,1,4,1,1,472,1,1,1
3,1,4,1,1,202,0,0,1
3,1,4,1,1,433,1,1,1
3,1,4,1,1,647,1,1,1
3,1,4,1,1,369,1,1,1
3,1,4,1,1,298,1,1,1
3,1,4,1,1,665,0,0,1
3,1,4,1,1,376,1,1,1
3,1,4,1,1,264,0,0,1
3,1,4,1,1,259,1,1,1
3,1,4,1,1,385,1,1,1
3,1,5,3,3,206,1,1,1
3,1,5,3,3,601,1,1,1
3,1,5,3,3,674,1,1,1
3,1,5,3,3,793,0,0,1
3,1,5,3,3,1194,1,1,1
3,1,5,3,3,935,1,0,0
3,1,5,3,3,359,1,1,1
3,1,5,3,3,822,1,1,1
3,1,5,3,3,650,1,1,1
3,1,5,3,3,765,0,1,0
3,1,5,3,3,942,1,1,1
3,1,5,3,3,507,1,0,0
3,1,5,3,3,819,0,0,1
3,1,5,3,3,1092,1,1,1
3,1,5,3,3,1160,0,1,0
3,1,5,3,3,1007,0,0,1
3,1,5,3,3,527,1,1,1
3,1,5,3,3,624,1,1,1
3,1,5,3,3,774,1,1,1
3,1,6,1,1,216,1,1,1
3,1,6,1,1,155,1,1,1
3,1,6,1,1,158,1,1,1
3,1,6,1,1,284,0,0,1
3,1,6,1,1,200,0,0,1
3,1,6,1,1,245,1,1,1
3,1,6,1,1,195,1,1,1
3,1,6,1,1,457,1,1,1
3,1,6,1,1,712,1,1,1
3,1,6,1,1,287,0,0,1
3,1,6,1,1,130,1,1,1
3,1,6,1,1,311,1,1,1
3,1,6,1,1,510,1,1,1
3,1,6,1,1,562,1,1,1
3,1,6,1,1,157,1,1,1
3,1,6,1,1,285,1,1,1
3,1,6,1,1,654,0,1,0
3,1,6,1,1,768,1,1,1
3,1,6,1,1,210,1,1,1
3,1,6,1,1,335,0,1,0
3,1,6,1,1,358,1,0,0
3,1,7,1,1,80,1,1,1
3,1,7,1,1,283,1,1,1
3,1,7,1,1,230,0,0,1
3,1,7,1,1,204,1,1,1
3,1,7,1,1,159,1,1,1
3,1,7,1,1,204,1,1,1
3,1,7,1,1,221,1,1,1
3,1,7,1,1,47,1,1,1
3,1,7,1,1,326,1,1,1
3,1,7,1,1,3,0,0,1
3,1,7,1,1,688,1,1,1
3,1,7,1,1,221,1,1,1
3,1,7,1,1,71,0,0,1
3,1,7,1,1,50,1,1,1
3,1,7,1,1,660,0,1,0
3,1,7,1,1,325,1,1,1
3,1,7,1,1,403,1,1,1
3,1,7,1,1,313,1,1,1
3,1,7,1,1,247,1,0,0
3,1,7,1,1,75,1,1,1
3,1,8,3,3,460,0,0,1
3,1,8,3,3,637,1,1,1
3,1,8,3,3,1036,1,1,1
3,1,8,3,3,769,1,1,1
3,1,8,3,3,497,1,0,0
3,1,8,3,3,716,0,0,1
3,1,8,3,3,457,1,1,1
3,1,8,3,3,686,1,1,1
3,1,8,3,3,403,0,0,1
3,1,8,3,3,430,1,1,1
3,1,8,3,3,1003,1,1,1
3,1,8,3,3,433,1,0,0
3,1,8,3,3,420,0,1,0
3,1,8,3,3,541,1,1,1
3,1,8,3,3,470,1,0,0
3,1,8,3,3,326,1,1,1
3,1,8,3,3,521,1,1,1
3,1,8,3,3,597,1,1,1
3,1,10,3,3,212,1,1,1
3,1,10,3,3,493,1,1,1
3,1,10,3,3,611,1,1,1
3,1,10,3,3,422,1,1,1
3,1,10,3,3,232,1,1,1
3,1,10,3,3,587,1,1,1
3,1,10,3,3,360,1,0,0
3,1,10,3,3,458,1,1,1
3,1,10,3,3,816,1,1,1
3,1,10,3,3,1067,0,1,0
3,1,10,3,3,824,0,1,0
3,1,10,3,3,196,0,0,1
3,1,10,3,3,823,1,1,1
3,1,10,3,3,1068,0,0,1
3,1,10,3,3,817,1,1,1
3,1,10,3,3,1186,1,0,0
3,1,10,3,3,539,1,0,0
3,1,10,3,3,727,1,1,1
3,1,10,3,3,840,0,1,0
3,1,11,1,1,2,0,0,1
3,1,11,1,1,166,1,1,1
3,1,11,1,1,285,1,1,1
3,1,11,1,1,57,0,0,1
3,1,11,1,1,625,1,1,1
3,1,11,1,1,250,1,1,1
3,1,11,1,1,229,0,0,1
3,1,11,1,1,304,1,1,1
3,1,11,1,1,1034,0,1,0
3,1,11,1,1,238,0,0,1
3,1,11,1,1,806,1,0,0
3,1,11,1,1,643,1,1,1
3,1,11,1,1,526,1,1,1
3,1,11,1,1,556,1,1,1
3,1,11,1,1,423,1,1,1
3,1,11,1,1,232,1,1,1
3,1,11,1,1,174,1,1,1
3,1,11,1,1,328,1,1,1
3,1,11,1,1,314,1,1,1
3,1,11,1,1,213,0,0,1
3,1,11,1,1,62,1,1,1
3,1,12,1,1,207,1,1,1
3,1,12,1,1,460,1,1,1
3,1,12,1,1,734,0,0,1
3,1,12,1,1,203,1,1,1
3,1,12,1,1,232,1,1,1
3,1,12,1,1,331,0,0,1
3,1,12,1,1,116,0,0,1
3,1,12,1,1,17,1,1,1
3,1,12,1,1,200,1,1,1
3,1,12,1,1,203,0,0,1
3,1,12,1,1,704,1,1,1
3,1,12,1,1,376,1,1,1
3,1,12,1,1,656,1,0,0
3,1,12,1,1,295,1,1,1
3,1,12,1,1,315,1,1,1
3,1,12,1,1,230,1,1,1
3,1,12,1,1,186,1,1,1
3,1,12,1,1,122,1,1,1
3,1,12,1,1,378,1,1,1
3,1,12,1,1,48,0,0,1
3,1,12,1,1,135,1,1,1
3,1,13,3,3,376,1,1,1
3,1,13,3,3,269,1,1,1
3,1,13,3,3,232,1,1,1
3,1,13,3,3,461,1,0,0
3,1,13,3,3,375,0,1,0
3,1,13,3,3,1002,0,1,0
3,1,13,3,3,506,1,0,0
3,1,13,3,3,787,0,1,0
3,1,13,3,3,808,1,1,1
3,1,13,3,3,927,1,1,1
3,1,13,3,3,853,1,1,1
3,1,13,3,3,621,1,1,1
3,1,13,3,3,520,1,1,1
3,1,13,3,3,290,0,0,1
3,1,13,3,3,1222,1,0,0
3,1,13,3,3,616,0,0,1
3,1,13,3,3,294,1,1,1
3,1,13,3,3,555,1,1,1
3,1,13,3,3,421,1,1,1
3,1,14,3,3,451,0,0,1
3,1,14,3,3,438,0,0,1
