Subject,Is_Calming_Music,Trial_Number,Difficulty,Letter_Ascii,Response_Time,Correct_Response,Actual_Response,Answered_Correctly
3,1,1,1,65,1432,1,1,1
3,1,1,1,69,825,1,1,1
3,1,1,1,69,631,0,0,1
3,1,1,1,69,531,0,0,1
3,1,1,1,79,421,1,1,1
3,1,1,1,65,849,0,1,0
3,1,1,1,65,1141,0,1,0
3,1,1,1,72,922,1,1,1
3,1,1,1,74,387,1,1,1
3,1,1,1,68,344,1,1,1
3,1,1,1,66,473,1,1,1
3,1,1,1,76,668,1,1,1
3,1,1,1,86,290,1,1,1
3,1,1,1,86,209,0,0,1
3,1,1,1,78,282,1,1,1
3,1,1,1,86,797,1,1,1
3,1,1,1,76,426,1,1,1
3,1,1,1,65,350,1,1,1
3,1,1,1,69,290,1,1,1
3,1,1,1,74,757,1,1,1
3,1,1,1,83,392,1,1,1
3,1,2,3,67,442,1,1,1
3,1,2,3,78,765,1,1,1
3,1,2,3,80,1063,1,1,1
3,1,2,3,78,1147,1,1,1
3,1,2,3,80,623,0,1,0
3,1,2,3,67,462,0,0,1
3,1,2,3,78,410,0,1,0
3,1,2,3,81,892,1,1,1
3,1,2,3,77,544,1,1,1
3,1,2,3,72,555,1,1,1
3,1,2,3,81,325,0,0,1
3,1,2,3,88,529,1,1,1
3,1,2,3,78,822,1,1,1
3,1,2,3,90,532,1,1,1
3,1,2,3,70,457,1,1,1
3,1,2,3,67,815,1,1,1
3,1,2,3,72,356,1,1,1
3,1,3,3,73,289,1,1,1
3,1,3,3,88,1378,1,0,0
3,1,3,3,77,840,0,0,1
3,1,3,3,80,629,1,1,1
3,1,3,3,83,560,1,1,1
3,1,3,3,65,876,1,0,0
3,1,3,3,78,759,1,1,1
3,1,3,3,87,191,1,1,1
3,1,3,3,86,552,1,1,1
3,1,3,3,65,465,1,1,1
3,1,3,3,87,381,0,0,1
3,1,3,3,66,163,1,1,1
3,1,3,3,65,301,0,0,1
3,1,3,3,89,271,1,1,1
3,1,3,3,66,322,0,1,0
3,1,3,3,65,519,0,0,1
3,1,3,3,82,477,1,1,1
3,1,3,3,80,998,1,1,1
3,1,3,3,67,859,1,1,1
3,1,4,1,73,198,1,1,1
3,1,4,1,81,293,1,1,1
3,1,4,1,72,112,1,1,1
3,1,4,1,67,97,1,1,1
3,1,4,1,78,127,1,1,1
3,1,4,1,86,389,1,1,1
3,1,4,1,89,333,1,1,1
3,1,4,1,89,267,0,0,1
3,1,4,1,75,275,1,1,1
3,1,4,1,75,336,0,0,1
3,1,4,1,73,472,1,1,1
3,1,4,1,73,202,0,0,1
3,1,4,1,79,433,1,1,1
3,1,4,1,69,647,1,1,1
3,1,4,1,68,369,1,1,1
3,1,4,1,86,298,1,1,1
3,1,4,1,86,665,0,0,1
3,1,4,1,78,376,1,1,1
3,1,4,1,78,264,0,0,1
3,1,4,1,68,259,1,1,1
3,1,4,1,87,385,1,1,1
3,1,5,3,89,206,1,1,1
3,1,5,3,82,601,1,1,1
3,1,5,3,73,674,1,1,1
3,1,5,3,89,793,0,0,1
3,1,5,3,78,1194,1,1,1
3,1,5,3,89,935,1,0,0
3,1,5,3,88,359,1,1,1
3,1,5,3,70,822,1,1,1
3,1,5,3,85,650,1,1,1
3,1,5,3,72,765,0,1,0
3,1,5,3,85,942,1,1,1
3,1,5,3,85,507,1,0,0
3,1,5,3,72,819,0,0,1
3,1,5,3,87,1092,1,1,1
3,1,5,3,85,1160,0,1,0
3,1,5,3,72,1007,0,0,1
3,1,5,3,70,527,1,1,1
3,1,5,3,73,624,1,1,1
3,1,5,3,86,774,1,1,1
3,1,6,1,82,216,1,1,1
3,1,6,1,79,155,1,1,1
3,1,6,1,80,158,1,1,1
